0%,Cooking Perfection Progress,,,,,,,,
,,,,,,,,,
FALSE,,Red Plate,"Red Cabbage, Radish",Emily - 7 Hearts,,FALSE,1,Dandelion,Spring
FALSE,,Eggplant Parmesan,"Eggplant, Tomato",Lewis - 7 Hearts,,FALSE,1,Leek,Spring
FALSE,,Rice Pudding,"Milk, Sugar, Rice",Evelyn - 7 Hearts,,FALSE,1,Morel,Spring
FALSE,,Ice Cream,"Milk, Sugar",Jodi - 7 Hearts,,FALSE,1,Wild Horseradish,Spring
FALSE,,Blueberry Tart,"Blueberry, Wheat Flour, Sugar, Egg",Pierre - 3 Hearts,,FALSE,1,Fiddlehead Fern,Summer (Secret Woods)
FALSE,,Autumn's Bounty,"Yam, Pumpkin",Demetrius - 7 Hearts,,FALSE,2,Blackberry,Fall
FALSE,,Pumpkin Soup,"Pumpkin, Milk",Robin - 7 Hearts,,FALSE,4,Hazelnut,Fall
FALSE,,Super Meal,"Bok Choy, Cranberries, Artichoke",Kent - 7 Hearts,,FALSE,2,Wild Plum,Fall
FALSE,,Cranberry Sauce,"Cranberries, Sugar",Gus - 7 Hearts,,FALSE,1,Winter Root,Winter
FALSE,,Stuffing,"Bread, Cranberries, Hazelnut",Pam - 7 Hearts,,FALSE,5,Cave Carrot,Any (Mines)
FALSE,,Farmer's Lunch,"Omelet, Parsnip",Farming Level 3,,FALSE,3,Coconut,Any (Desert)
FALSE,,Survival Burger,"Bread, Cave Carrot, Eggplant",Foraging Level 8,,FALSE,3,Ginger,Any (Island)
FALSE,,Dish O' The Sea,"Sardine(2), Hashbrowns",Fishing Level 3,,Animal / Artisan,,,
FALSE,,Miner's Treat,"Cave Carrot(2), Sugar, Milk",Mining Level 3,,FALSE,3,Cheese,
FALSE,,Roots Platter,"Cave Carrot, Winter Root",Combat Level 3,,FALSE,3,Coffee,Can be bought from Gus
FALSE,,Triple Shot Espresso,Coffee(3),"Stardrop Saloon for 5,000g",,FALSE,13,Egg,
FALSE,,Seafoam Pudding,"Flounder, Midnight Carp, Squid Ink",Fishing Level 9,,FALSE,1,Maple Syrup,
FALSE,,Algae Soup,Green Algae(4),Clint - 3 Hearts,,FALSE,2,Mayonnaise,
FALSE,,Pale Broth,White Algae(2),Marnie - 3 Hearts,,FALSE,12,Milk,
FALSE,,Plum Pudding,"Wild Plum(2), Wheat Flour, Sugar","Queen of Sauce, Winter 7, Year 1",,FALSE,1,Void Mayonnaise,
FALSE,,Artichoke Dip,"Artichoke, Milk","Queen of Sauce, Fall 28, Year 1",,Fish (see 'Fishing' tab for details),,,
FALSE,,Stir Fry,"Cave Carrot, Common Mushroom, Kale, Oil","Queen of Sauce, Spring 7, Year 1",,FALSE,1,Bream,
FALSE,,Roasted Hazelnuts,Hazelnut(3),"Queen of Sauce, Summer 28, Year 2",,FALSE,4,Carp,
FALSE,,Pumpkin Pie,"Pumpkin, Wheat Flour, Milk, Sugar","Queen of Sauce, Winter 21, Year 1",,FALSE,2,Eel,
FALSE,,Radish Salad,"Oil, Vinegar, Radish","Queen of Sauce, Spring 21, Year 1",,FALSE,2,Fish (Any),
FALSE,,Fruit Salad,"Blueberry, Melon, Apricot","Queen of Sauce, Fall 7, Year 2",,FALSE,1,Flounder,
FALSE,,Blackberry Cobbler,"Blackberry(2), Sugar, Wheat Flour","Queen of Sauce, Fall 14, Year 2",,FALSE,5,Green Algae,
FALSE,,Cranberry Candy,"Cranberry, Apple, Sugar","Queen of Sauce, Winter 28, Year 1",,FALSE,1,Largemouth Bass,
FALSE,,Bruschetta,"Bread, Oil, Tomato","Queen of Sauce, Winter 21, Year 2",,FALSE,1,Midnight Carp,
FALSE,,Coleslaw,"Red Cabbage, Vinegar, Mayo","Queen of Sauce, Spring 14, Year 1",,FALSE,1,Rainbow Trout,
FALSE,,Fiddlehead Risotto,"Oil, Fiddlehead Fern, Garlic","Queen of Sauce, Fall 28, Year 2",,FALSE,1,Salmon,
FALSE,,Poppyseed Muffin,"Poppy, Wheat Flour, Sugar","Queen of Sauce, Winter 7, Year 2",,FALSE,2,Sardine,
FALSE,,Chowder,"Clam, Milk",Willy - 3 Hearts,,FALSE,1,Sea Cucumber,
FALSE,,Fish Stew,"Crayfish, Mussel, Periwinkle, Tomato",Willy - 7 Hearts,,FALSE,1,Seaweed,
FALSE,,Escargot,"Snail, Garlic",Willy - 5 Hearts,,FALSE,1,Squid,
FALSE,,Lobster Bisque,"Lobster, Milk",Willy - 9 Hearts,,FALSE,1,Sunfish,
FALSE,,Maple Bar,"Maple Syrup, Sugar, Wheat Flour","Queen of Sauce, Summer 14, Year 2",,FALSE,1,Tuna,
FALSE,,Crab Cakes,"Crab, Wheat Flour, Egg, Oil","Queen of Sauce, Fall 21, Year 2",,FALSE,2,White Algae,
FALSE,,Shrimp Cocktail,"Tomato, Shrimp, Wild Horseradish","Queen of Sauce, Winter 28, Year 2",,Crab Pot,,,
FALSE,,Ginger Ale,"Ginger(3), Sugar","Dwarf Shop in Volcano for 1,000g",,FALSE,1,Clam,Saltwater
FALSE,,Banana Pudding,"Banana, Milk, Sugar",Island Trader for 30 Bone Fragments,,FALSE,1,Crab,Saltwater
FALSE,,Mango Sticky Rice,"Mango, Coconut, Rice",Leo - 7 Hearts,,FALSE,1,Lobster,Saltwater
FALSE,,Poi,Taro Root(4),Leo - 3 Hearts,,FALSE,1,Mussel,Saltwater
FALSE,,Tropical Curry,"Coconut, Pineapple, Hot Pepper","Ginger Island Resort for 2,000g",,FALSE,2,Shrimp,Saltwater
FALSE,,Squid Ink Ravioli,"Squid Ink, Wheat Flour, Tomato",Combat Level 9,,FALSE,1,Crayfish,Freshwater
FALSE,,Moss Soup,Moss(20),Foraging Level 3,,FALSE,2,Periwinkle,Freshwater
,,,,,,FALSE,1,Snail,Freshwater
,,Tip: Don't store fish in the fridge! This will prevent you from accidentally using fish you may need for specific recipes,,,,Monster Drops,,,
,,,,,,FALSE,2,Squid Ink,Squid Kid / Blue Squid
,,,,,,Shop Items,,,
,,,,,,FALSE,12,Oil,Buy from Pierre or Joja
,,,,,,FALSE,3,Rice,Buy from Pierre or Joja
,,,,,,FALSE,18,Sugar,Buy from Pierre or Joja
,,,,,,FALSE,4,Vinegar,Buy from Pierre or Joja
,,,,,,FALSE,24,Wheat Flour,Buy from Pierre or Joja
,,,,,,Cooked Items,,,
,,,,,,FALSE,3,Bread,Made with Wheat
,,,,,,FALSE,1,Fried Egg,Made with Egg
,,,,,,FALSE,2,Hashbrowns,Made with Potato and Oil
,,,,,,FALSE,1,Omelet,Made with Egg and Milk
,,,,,,FALSE,1,Pancakes,Made with Flour and Egg
,,,,,,FALSE,2,Tortilla,Made with Corn
